nom, code_postal, latitude, longitude, variable_linguistique
Abergement-Clémenciat,1400,46.1534255214,4.92611354223,1
Abergement-de-Varey,1640,46.0091878776,5.42801696363,-1
Ambérieu-en-Bugey,1500,45.9608475114,5.3729257777,-1
Ambérieux-en-Dombes,1330,45.9961799872,4.91227250796,0
Ambléon,1300,45.7494989044,5.59432017366,0
Ambronay,1500,46.0055913782,5.35760660735,-1
Ambutrix,1500,45.9367134524,5.3328092349,0
Andert-et-Condon,1300,45.7873565333,5.65788307924,0
Anglefort,1350,45.9093715116,5.79516005674,0
Apremont,1100,46.2054981558,5.65781475272,1
Aranc,1110,46.0015344029,5.51130637511,0
Arandas,1230,45.8908155275,5.49870439091,0
Arbent,1100,46.2834936005,5.69061651221,0
Arboys en Bugey,1300,45.7237621545,5.65263086429,-1
Arboys en Bugey,1300,45.7237621545,5.65263086429,-1
Arbigny,1190,46.4776762988,4.9599416863,-1
Argis,1230,45.9337182132,5.48251100314,0
Armix,1510,45.8541838459,5.58357838695,0
Ars-sur-Formans,1480,45.9934611,4.82199649494,1
Artemare,1510,45.8695891748,5.69065283943,0
Asnières-sur-Saône,1570,46.3857281418,4.88387478623,0
Attignat,1340,46.2861802203,5.1795233845,1
Bâgé-Dommartin,1380,46.3233203302,4.9528678933,0
Bâgé-le-Châtel,1380,46.3077069231,4.92862084189,0
Balan,1360,45.8311226453,5.10780019249,1
Baneins,1990,46.1141214445,4.90146475101,0
Beaupont,1270,46.4288360203,5.26003405676,0
Beauregard,1480,46.0008580204,4.75600664694,-1
Bellignat,1100,46.2373497134,5.6360052884,1
Béligneux,1360,45.8591464826,5.13989505865,1
Béligneux,1360,45.8591464826,5.13989505865,1
Béligneux,1360,45.8591464826,5.13989505865,1
Béligneux,1360,45.8591464826,5.13989505865,1
Bellegarde-sur-Valserine,1200,46.1067901755,5.83202736464,0
Belley,1300,45.7494697806,5.68412365526,-1
Belleydoux,1130,46.2530316409,5.78471723698,0
Belmont-Luthézieu,1260,45.8847475883,5.65115788055,1
Belmont-Luthézieu,1260,45.8847475883,5.65115788055,1
Bénonces,1470,45.8374974718,5.48285330863,0
Bény,1370,46.3188629218,5.28253433405,-1
Béon,1350,45.8568920052,5.75220315052,0
Béréziat,1340,46.3674371012,5.04021655965,1
Bettant,1500,45.9368718303,5.36667617009,0
Bey,1290,46.2191748844,4.84642690241,-1
Beynost,1700,45.8390325448,4.99738002182,0
Billiat,1200,46.0791346715,5.76591818163,1
Birieux,1330,45.9533995502,5.03666479984,1
Biziat,1290,46.2266794269,4.94084673168,1
Blyes,1150,45.8469686113,5.25166055884,0
Boisse,1120,45.8446213549,5.02783224111,0
Boissey,1190,46.3727973545,4.9989764059,-1
